오늘 차관 강의실 있어?
오늘 차관 빈곳 있어?
차관에서 공강 시간에 공부할만한 데 있어?
오후 6시 30분부터 밤 10시까지 차관 빈 강의실 써도 되나요?
토론수업 줌으로 들어야 하는데 차관 아무곳이나 빈 강의실 써도 돼?
지금 차관에 수업 없으면 써도 되는 거겠지?
6시 이후에 차관 빈 강의실에서 공부하고 싶은데 어디서 할 수 있어?
수업없는 빈 강의실에서 혼자 앉아있으려고 하는데 빈 곳 있어?
지금 차관 빈 강의실 알려줄 수 있어?
차관에 발표도 해야하는 실강 들을만한 곳이 있나요..?
차관 빈 강의실이면 어디든지 써도 되는 거겠죠…?
차관 빈 강의실이나 비대면 강의실 어떤가요?
오늘 인대 빈곳 있어?
인대에서 공강 시간에 공부할만한 데 있어?
오늘 9시에 인대 빈강의실 있어?
인대에서 수업 사이 시간이 비는데 빈 강의실 써도 되나요??
인사관 빈 강의실에서 비대면 강의 들어도 되나요?
인대도 차관처럼 빈 강의실 들어가서 들을 수 있나요?
차관 수업 없는 빈 강의실 아무곳이나 써도 되나요?
차관 320 2시에 수업 있어?
내일 1시에 차관 빈 곳 알려줘
오늘 3시에 차관 빈 강의실 있을까?
차320 수업 없는 시간 알려줘
차관 235 수요일에 언제 비어?
차관 빈 강의실가서 공부해도 ㄱㅊ??
밤 8시쯤에 상담있는데 차관 빈 강의실에서 해도 되나??
차관이나 인문관 빈 강의실에서 오후6시 이후에 공부 할 데 있어?
지금 차관에서 공강시간에 공부할만한 데 있어?
지금 차관 안쓰는 강의실 있어?
지금 인대 안쓰는 강의실 있어?
지금 인대에서 공강시간에 공부할만한 데 있어?
차미리사관이 어디야
차미리사관 공부할만한 곳 알려줘
차관이 어디야
차관 공부할만한 곳 알려줘
3124이 어디야
3124 공부할만한 곳 알려줘
차이 어디야
차 공부할만한 곳 알려줘
차미리관이 어디야
차미리관 공부할만한 곳 알려줘
차미리이 어디야
차미리 공부할만한 곳 알려줘
차미리사관 사용중인 곳 어디야
차미리사관 빈 곳 어디야
차미리사관 공부할만한 곳 알려줘
차관 사용중인 곳 어디야
차관 빈 곳 어디야
차관 공부할만한 곳 알려줘
3124 사용중인 곳 어디야
3124 빈 곳 어디야
3124 공부할만한 곳 알려줘
차 사용중인 곳 어디야
차 빈 곳 어디야
차 공부할만한 곳 알려줘
차미리관 사용중인 곳 어디야
차미리관 빈 곳 어디야
차미리관 공부할만한 곳 알려줘
차미리 사용중인 곳 어디야
차미리 빈 곳 어디야
차미리 공부할만한 곳 알려줘
A 사용중인 곳 어디야
A 빈 곳 어디야
A 공부할만한 곳 알려줘
B 사용중인 곳 어디야
B 빈 곳 어디야
B 공부할만한 곳 알려줘
C 사용중인 곳 어디야
C 빈 곳 어디야
C 공부할만한 곳 알려줘
D 사용중인 곳 어디야
D 빈 곳 어디야
D 공부할만한 곳 알려줘
E 사용중인 곳 어디야
E 빈 곳 어디야
E 공부할만한 곳 알려줘
F 사용중인 곳 어디야
F 빈 곳 어디야
F 공부할만한 곳 알려줘
G 사용중인 곳 어디야
G 빈 곳 어디야
G 공부할만한 곳 알려줘
H 사용중인 곳 어디야
H 빈 곳 어디야
H 공부할만한 곳 알려줘
x시 사용중인 곳 어디야
x시 빈 곳 어디야
x시 공부할만한 곳 알려줘
x시 y분 사용중인 곳 어디야
x시 y분 빈 곳 어디야
x시 y분 공부할만한 곳 알려줘
지금 사용중인 곳 어디야
지금 빈 곳 어디야
지금 공부할만한 곳 알려줘
x시간 뒤 사용중인 곳 어디야
x시간 뒤 빈 곳 어디야
x시간 뒤 공부할만한 곳 알려줘
오전 사용중인 곳 어디야
오전 빈 곳 어디야
오전 공부할만한 곳 알려줘
오후 사용중인 곳 어디야
오후 빈 곳 어디야
오후 공부할만한 곳 알려줘
낮 사용중인 곳 어디야
낮 빈 곳 어디야
낮 공부할만한 곳 알려줘
밤 사용중인 곳 어디야
밤 빈 곳 어디야
밤 공부할만한 곳 알려줘
오늘 사용중인 곳 어디야
오늘 빈 곳 어디야
